LOOKUP_ID,LOOKUP_NAME,PARENT_ID,TYPE_ID,type_name
516033,SATPURA KSHETRIYA GRAMIN BANK,0,29,BANK NAME
516034,ARYAVART KSHETRIYA GRAMIN BANK,0,29,BANK NAME
516035,THE REWARI CENTRAL CO OP BANK LTD,0,29,BANK NAME
516036,The parbhani district central co op Bank Ltd,0,29,BANK NAME
516037,SHREE LAXMI CO OP BANK LTD,0,29,BANK NAME
516038,ALMORA URBAN CO OPERATIVE BANK LTD,0,29,BANK NAME
516039,THE PALAMOOR CO OPERATIVE URBAN BANK LTD,0,29,BANK NAME
516040,CENTRAL MADHYA PRADESH GRAMIN BANK,0,29,BANK NAME
516041,The Ahmednagar District Central Co Op Bank Ltd,0,29,BANK NAME
516042,THE BANASKANTHA MERCANTILE CO OPERATIVE BANK LIMITED,0,29,BANK NAME
516043,SHRI ANAND NAGRI SAHKAR BANK LTD,0,29,BANK NAME
516044,THE NIZAMABAD DISTRICT CO OPERATIVE CENTRAL BANK LTD,0,29,BANK NAME
516045,Shri Chhatrapati Rajarshi Shahu Urban C0 OP Bank Ltd,0,29,BANK NAME
516046,THE BISHNUPUR TOWN CO OPERATIVE BANK LTD,0,29,BANK NAME
516047,SHREE BHAVNAGAR NAGARIK SAHAKARI BANK LTD,0,29,BANK NAME
516048,SAMATA SAHAKARI BANK LTD,0,29,BANK NAME
516052,MALVIYA URBAN CO OP BANK LIMITED,0,29,BANK NAME
516056,TULSI GRAMIN BANK,0,29,BANK NAME
516057,INDRAYANI CO OP.BANK LTD,0,29,BANK NAME
516058,The city Co operative bank ltd Mumbai,0,29,BANK NAME
516059,The Chandigarh State Co Operative Bank Ltd,0,29,BANK NAME
516060,THE GURGAON CENTRAL CO OP BANK LTD,0,29,BANK NAME
516061,Sir M VISVESVARAYA CO OPERATIVE BANK LTD,0,29,BANK NAME
516062,UNITED MERCANTILE CO OPERATIVE NANK LTD,0,29,BANK NAME
516063,FATEHPUR KHESHTRIYA GRAMIN BANK,0,29,BANK NAME
516073,URBAN CO OPERATIVE BANK LTD,0,29,BANK NAME
516074,SCOTIABANK THE BANK OF NOVA SCOTIA,0,29,BANK NAME
515910,SARYU GRAMIN BANK,0,29,BANK NAME
515911,PUNJAB & MAHARASHTRA CO OP  BANK  LTD,0,29,BANK NAME
515912,The deccan marchants coop bank ltd,0,29,BANK NAME
515913,THE BHAGYODAYA CO OP  BANK LTD,0,29,BANK NAME
515914,The sahyadri sahkari bank ltd,0,29,BANK NAME
515915,HADOTI KSHETRIYA GRAMIN BANK,0,29,BANK NAME
515916,JODHPUR NAGRIK SAHAKARI BANK LTD,0,29,BANK NAME
515917,THE MAPUSA URBAN COOP BANK OF GOA LTD,0,29,BANK NAME
515918,THE SANGHAMITRA CO OP URBAN BANK LTD,0,29,BANK NAME
515919,The Makarpura Industrial Estate Co Op Bank Ltd,0,29,BANK NAME
515920,THE AJRA URBAN CO OP BANK LTD,0,29,BANK NAME
515921,L&T FINANCE LTD,0,29,BANK NAME
515924,NOBEL CO OPERATIVE BANK LTD,0,29,BANK NAME
515925,THE DHANERA MERCANTILE CO BANK LTD,0,29,BANK NAME
515926,THE HIMACHAL PRADESH STATE CO OPERATIVE BANK LTD,0,29,BANK NAME
515927,TRIVENI KSHETRIYA GRAMIN BANK,0,29,BANK NAME
515928,KALINGA GRAMYA BANK,0,29,BANK NAME
515929,RAMRAJYA SAHAKARI BANK LTD,0,29,BANK NAME
515930,JIVAN COMMERCIAL CO OP BANK LTD,0,29,BANK NAME
515931,SOLAPUR SIDDHESHWAR SAHAKARI BANK LTD,0,29,BANK NAME
515932,KOLHAPUR DISTRICT CENTRAL CO OP  BANK LTD,0,29,BANK NAME
515935,Mogaveera Bank,0,29,BANK NAME
515936,The Mogaveera Co Operative Bank Ltd,0,29,BANK NAME
515938,GORAKHPUR KHETRIYA GRAMIN BANK,0,29,BANK NAME
515939,THE BHANDARA DISTRICT CENTRAL CO OP BANK LTD,0,29,BANK NAME
515940,COOPRATIVE CENTRAL BANK LTD,0,29,BANK NAME
515941,THE SOUTH CANARA DISTRICT CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
515942,The Orissa State Co operative Bank Ltd,0,29,BANK NAME
515943,SHREE MAHALAXMI MERCANTILE CO OP  BANK LTD,0,29,BANK NAME
515944,PANDYAN GRAMA BANK,0,29,BANK NAME
515945,Kerala Gramin Bank,0,29,BANK NAME
515946,"DISTRICT COOPRATIVE CENTRAL BANK LTD,",0,29,BANK NAME
515947,The Kadapa District Cooperative Central Bank Ltd,0,29,BANK NAME
515948,ARVIND SAHAKARI BANK LIMITED,0,29,BANK NAME
515949,THE BANSWARA CENTRAL CO OPERATIVE BANK LTD,0,29,BANK NAME
515950,RAIGAD SAHAKARI BANK LIMITED,0,29,BANK NAME
515951,ASSOCIATE CO OP BANK LTD,0,29,BANK NAME
515952,UTTRAKHAND GRAMIN BANK,0,29,BANK NAME
515953,VIKAS SAHAKARI BANK LTD,0,29,BANK NAME
515954,STERLING URBAN CO OP BANK LTD,0,29,BANK NAME
515955,PRAGATHI KRISHNA GRAMIN BANK,0,29,BANK NAME
515956,GONDAL NAGRIK SAHAKARI BANK LTD,0,29,BANK NAME
515959,THE GODHRA URBAN CO OP BANK LTD.,0,29,BANK NAME
515960,MADHYA BHARAT GRAMIN BANK,0,29,BANK NAME
515961,INDORE PARASPAR SAHAKARI BANK LTD,0,29,BANK NAME
515962,JHALAWAR KENDRIYA SAHAKARI BANK LTD,0,29,BANK NAME
515965,COASTAL LOCAL AREA BANK LTD,0,29,BANK NAME
515966,THE BANGALORE CITY CO OP BANK LTD,0,29,BANK NAME
515967,THE MALLESWARAM CO OPERATIVE BANK LTD,0,29,BANK NAME
515968,Meghalaya Rural Bank,0,29,BANK NAME
515973,SREE THYAGARAJA CO OPERATIVE BANK LIMITED.,0,29,BANK NAME
515974,AMAN SAHAKARI BANK LTD,0,29,BANK NAME
515975,LALA URBAN CO OP BANK LTD,0,29,BANK NAME
515976,Sampada Sahakari bank ltd,0,29,BANK NAME
515977,Abhinav Sahkari Bank Dombivali West,0,29,BANK NAME
515978,SHREE DHARATI COOP BANK LTD,0,29,BANK NAME
515979,The chembur nagrik sahkari bank ltd,0,29,BANK NAME
515980,THE KARAD JANATA SAHAKARI BANK LTD,0,29,BANK NAME
515981,THE VAISH CO OPERATIVE NEW BANK LTD,0,29,BANK NAME
515982,THE MALKAPUR URBAN COOP BANK LTD,0,29,BANK NAME
515986,SRI ANANTHAGRAMEENA BANK,0,29,BANK NAME
515987,THE RAJASTHAN URBAN CO OPERATIVE BANK LTD,0,29,BANK NAME
515989,THE DARUSSALAM CO OP URBAN BANK LTD,0,29,BANK NAME
515846,DCB BANK LTD,0,29,BANK NAME
515847,DEVELOPMENT BANK OF SINGAPORE,0,29,BANK NAME
515848,DEVELOPMENT CREDIT BANK LTD,0,29,BANK NAME
515849,DHANLAXMI BANK LTD,0,29,BANK NAME
515850,FIRSTRAND BANK LIMITED,0,29,BANK NAME
515851,GUJARAT STATE COOPERATIVE BANK LTD,0,29,BANK NAME
515852,IDBI BANK LTD,0,29,BANK NAME
515853,INDUSTRIAL AND COMMERCIAL BANK OF CHINA LIMITED,0,29,BANK NAME
515854,ING VYSYA BANK LTD,0,29,BANK NAME
515855,JANASEVA SAHAKARI BANK (BORIVLI) LTD,0,29,BANK NAME
515856,JP MORGAN CHASE BANK,0,29,BANK NAME
515857,KANGRA CENTRAL CO OP BANK LTD,0,29,BANK NAME
515858,KARNATAKA BANK LTD,0,29,BANK NAME
515859,MAHANAGAR CO OP BANK LTD MUMBAI,0,29,BANK NAME
515860,MAHARASHTRA STATE CO OPERATIVE BANK,0,29,BANK NAME
515861,MASHREQ BANK PSC,0,29,BANK NAME
